,Bao,Chokdee`,DDDD,JJ,Ja,Kuga,Kurosagi Ichigo,M,Mick,Micky,Naenon,Offroad,Plub,Shimmy,Tack,Tw,champion,gobgab,march,name,sine,superidol,ก้องฟ้า,น้ำ,เจ,เทพซ่า676767677
Naenon,1.915977117224583,1.7041682886523633,1.6363790187811496,2.124647789417652,1.8543943568850174,1.6826242720186022,1.7485209564386253,1.6129453062468777,1.6067199643600476,1.3807551388188213,0.0,1.5428335765396985,1.6075198654513836,1.6440947283758445,1.4168904409132692,1.7064836872088935,1.3513753383690814,1.5329147395822877,1.50433211055106,1.6414175361458692,2.1356569782746306,1.6141503409218394,1.852206355225398,1.384290435366212,1.6198240497017748,1.5474042132116055
Offroad,1.2766932257970545,1.2032115768655676,1.511953204184117,1.4888911455462803,0.9890880045929082,1.163155456807551,1.4493555675457905,1.1223985592769643,1.1989726058953578,1.7161170628272973,1.5428335765396985,0.0,1.0178593237183182,1.4922078481781864,1.7578979028655624,0.8297247062772442,1.3371037687282283,1.169023199088109,1.5517893484443868,1.57184115504942,1.8447306907029477,0.9799711502020727,1.5772886976362144,1.2139682546351624,2.17724500581323,1.1292822017271256
Plub,1.2657212765456392,0.885019054707357,1.6936766209095244,2.045910650165089,1.3993777194780797,0.8949544410990782,1.3935436791130966,0.9861889000969349,0.9322997227884985,1.2904763703507036,1.6075198654513836,1.0178593237183182,0.0,1.8521453206325207,1.6776590135667495,0.6616823118250732,1.1282402720360538,1.010938770732373,1.2392542729052465,1.6769011514900931,1.3489578846502512,0.935880308204542,1.401604930603783,1.2661009829853043,2.032862246308559,0.8679963027341409
Shimmy,1.490769685262468,1.506701147578971,1.624149321741316,1.5191414604016005,1.4593178962518671,1.650781998199592,1.4881189679383795,1.459499140317395,1.5690493996091912,1.618997236624276,1.6440947283758445,1.4922078481781864,1.8521453206325207,0.0,1.3294949738511694,1.640412645095683,1.3332202633514627,1.6035197908265093,1.6051816331802025,1.6607730083447094,1.7714078451237332,1.562530731256916,1.7325926976333637,2.0569897514400757,1.5518673845000386,1.60087743559869
Tack,1.649174051517275,1.5043743364708069,1.5167984364696314,2.1205286920934974,1.8058402142053271,1.7156252492183952,1.8257356729696503,1.5634961649654293,1.7910591969856555,1.6216659018122943,1.4168904409132692,1.7578979028655624,1.6776590135667495,1.3294949738511694,0.0,1.7767262704021272,1.7759125949492263,1.565436010154402,1.568361183988956,1.872414121367781,1.4424890873489233,1.7023558257820282,1.726029413386039,1.5015869174773928,1.6264348325034388,1.6112045437913287
Tw,1.2580029089435711,0.8037764090457545,1.6804814206731635,1.780875239474487,1.2464198175319743,0.7061695189840133,1.3389836881005028,0.7482948168841514,0.7328685875586091,1.2099523320000374,1.7064836872088935,0.8297247062772442,0.6616823118250732,1.640412645095683,1.7767262704021272,0.0,1.4971708311806269,0.9762069372896028,1.588923861366721,1.699456826049036,1.2367528837114155,0.6516657702233098,1.4066580598891907,1.0007005280771006,1.8709650236429738,0.6367199240802202
champion,1.37052028501499,1.1687210091951186,1.592255665418169,1.9975386452835935,1.452815827919295,1.4064424185383642,1.4559851944748634,1.2932243954936868,1.5069467017703544,1.1852582698166207,1.3513753383690814,1.3371037687282283,1.1282402720360538,1.3332202633514627,1.7759125949492263,1.4971708311806269,0.0,1.461485231683178,1.4479358162823917,1.6473745801651292,1.9054406927891236,1.2631303932633031,1.3876514880328166,1.6550870752006228,1.5880854657286376,1.6162623136557812
gobgab,1.0850518988231694,0.8120370812418073,1.7321335734206336,2.0104120395405998,1.2005249546405763,1.014046075496972,1.4090351335749656,0.8038038050615876,1.0477541992348456,1.1551291460769533,1.5329147395822877,1.169023199088109,1.010938770732373,1.6035197908265093,1.565436010154402,0.9762069372896028,1.461485231683178,0.0,1.3673476111810634,1.476191698220883,1.80966082024754,0.9932422350185092,0.9029023149199844,1.3244686440210545,1.7735327215301477,0.8399113835534333
march,1.4950480558436277,1.0099027119911275,1.7921918054965362,2.0379062921341387,1.863342675727346,1.8136074960647113,1.5414942556531057,1.2995365386080326,1.9208281986284306,1.775252471141185,1.50433211055106,1.5517893484443868,1.2392542729052465,1.6051816331802025,1.568361183988956,1.588923861366721,1.4479358162823917,1.3673476111810634,0.0,1.817089054159929,2.013992036919813,1.3187554380759168,1.2665653377685953,1.468655991474399,1.706412409276544,1.896308115202377
name,1.5752095749058135,1.4040257839865273,2.004458634561687,1.5335050955344731,1.5730437359118994,0.9093401850108116,1.3330023226319536,1.3574913859419928,1.750683471152786,1.608161120529366,1.6414175361458692,1.57184115504942,1.6769011514900931,1.6607730083447094,1.872414121367781,1.699456826049036,1.6473745801651292,1.476191698220883,1.817089054159929,0.0,2.005041650047273,1.2301079324734363,1.5776609672534454,1.5012849363214869,1.8967128330574452,1.7012758457318244
sine,2.0000685174820516,1.6382571835267452,1.9552345312361865,2.160988546862364,1.9747967067684662,1.4171489305599232,2.355111327306511,1.5666453194967178,1.3976848701169917,1.9633177332707106,2.1356569782746306,1.8447306907029477,1.3489578846502512,1.7714078451237332,1.4424890873489233,1.2367528837114155,1.9054406927891236,1.80966082024754,2.013992036919813,2.005041650047273,0.0,1.4013760128933828,2.2839135640906174,1.1706122964118402,2.232562143951047,1.1286976114662985
superidol,1.6094984281564,1.064547858363636,1.894006488358865,1.877381272525354,1.4544343360673284,0.9251619280264615,1.5146436941920656,1.129027152094397,1.3928032994380652,1.6590712405971944,1.6141503409218394,0.9799711502020727,0.935880308204542,1.562530731256916,1.7023558257820282,0.6516657702233098,1.2631303932633031,0.9932422350185092,1.3187554380759168,1.2301079324734363,1.4013760128933828,0.0,1.5694919561333782,1.286137722229434,2.0262320167776706,1.488008103173419
ก้องฟ้า,0.9073118623952745,0.8034706421790164,2.0673790210872913,1.9673643584217066,1.2460899775025869,0.9980732312131116,1.8315415532970696,0.6828081151694768,1.5555170764215258,1.3827974015412572,1.852206355225398,1.5772886976362144,1.401604930603783,1.7325926976333637,1.726029413386039,1.4066580598891907,1.3876514880328166,0.9029023149199844,1.2665653377685953,1.5776609672534454,2.2839135640906174,1.5694919561333782,0.0,1.4881520307923846,1.7396047239178123,1.2927616684067174
น้ำ,1.4686418571481903,1.1455933120770672,1.741907661018562,1.8979404348882833,1.4597375995183393,0.9789048228963433,1.6386958871387662,1.071516332002364,1.389430088741278,1.581361522559052,1.384290435366212,1.2139682546351624,1.2661009829853043,2.0569897514400757,1.5015869174773928,1.0007005280771006,1.6550870752006228,1.3244686440210545,1.468655991474399,1.5012849363214869,1.1706122964118402,1.286137722229434,1.4881520307923846,0.0,1.7444018844787474,1.491895989926627
เจ,1.8678305861625004,1.7581304986250605,1.839305367251538,2.044740146487453,2.0166440247977566,1.7773022655128188,1.9977729181963184,1.7773628924244926,2.1255108453935283,1.4402993079371043,1.6198240497017748,2.17724500581323,2.032862246308559,1.5518673845000386,1.6264348325034388,1.8709650236429738,1.5880854657286376,1.7735327215301477,1.706412409276544,1.8967128330574452,2.232562143951047,2.0262320167776706,1.7396047239178123,1.7444018844787474,0.0,1.9714705518601936
เทพซ่า676767677,1.3379029188552267,0.8640116998306621,1.7490794796681726,2.056855868471719,1.2210276047556143,0.7518118639093819,1.7526661886571075,0.733237943856493,0.6396266115639564,1.2165594485221984,1.5474042132116055,1.1292822017271256,0.8679963027341409,1.60087743559869,1.6112045437913287,0.6367199240802202,1.6162623136557812,0.8399113835534333,1.896308115202377,1.7012758457318244,1.1286976114662985,1.488008103173419,1.2927616684067174,1.491895989926627,1.9714705518601936,0.0
