participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
DDDD,layout_switch_needed,1,3,3,1,1,7.303742441644474,4.079612292134219,0.0,0.0,0.0,0.0,19446.0,19446.0,0.0,0.0
DDDD,layout_switch_needed,<missing>,90,41,15,15,6.209213676743843,0.922576115632409,0.2777777777777778,0.08888888888888889,0.011111111111111112,0.0,31617.536585365855,31617.536585365855,0.0,0.14634146341463414
DDDD,target_distance_bin,<missing>,134,79,15,15,6.299140224895644,0.9390908313365173,0.208955223880597,0.06716417910447761,0.007462686567164179,0.0,34374.16455696202,34374.16455696202,0.0,0.11392405063291139
DDDD,target_distance_bin,high,653,456,15,15,6.24317494655339,1.4075313116909638,0.15160796324655437,0.09341500765696784,0.0,0.0,40870.42324561404,40906.054824561405,0.006578947368421052,0.14035087719298245
DDDD,target_distance_bin,low,244,182,15,15,6.038447087099188,-0.7325536655930862,0.12704918032786885,0.06967213114754098,0.0,0.0,40049.74725274725,40132.543956043955,0.01098901098901099,0.1043956043956044
DDDD,target_distance_bin,medium,288,182,15,15,6.230236575923822,0.015833281040033138,0.18055555555555555,0.10069444444444445,0.0,0.0,42319.21428571428,42499.08241758242,0.02197802197802198,0.15934065934065933
JJ,expected_char_class,<missing>,15,13,7,7,5.879153440765245,0.2038581197073599,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_char_class,arabic_numeral,11,5,2,2,6.462450172152353,1.5080760899259709,0.2727272727272727,0.0,0.18181818181818182,0.0,25746.4,25746.4,0.0,0.8
JJ,expected_char_class,english_punctuation,5,3,1,1,6.90382294003499,4.301738383711266,0.2,0.0,0.2,0.0,15687.0,15687.0,0.0,0.3333333333333333
JJ,expected_char_class,thai_consonant,614,543,15,15,6.127988679280275,0.6916976030855946,0.057003257328990226,0.014657980456026058,0.003257328990228013,0.0016286644951140066,42642.92817679558,42702.7108655617,0.007366482504604052,0.055248618784530384
JJ,expected_char_class,thai_diacritic,7,7,5,5,6.08473414584686,1.5330303312600841,0.0,0.0,0.0,0.0,60234.0,60234.0,0.0,0.0
JJ,expected_char_class,thai_numeral,12,4,2,2,6.966242005283225,3.0197731638359797,0.3333333333333333,0.0,0.0,0.0,63841.0,63841.0,0.0,0.25
JJ,expected_char_class,thai_tone_mark,68,57,14,14,5.540103687959989,-0.47548627177117264,0.08823529411764706,0.0,0.0,0.029411764705882353,40991.61403508772,40991.61403508772,0.0,0.10526315789473684
JJ,expected_char_class,thai_vowel_mark,298,248,15,15,6.030750002153861,0.3808008530978064,0.08389261744966443,0.010067114093959731,0.0,0.013422818791946308,42206.5120967742,42280.07258064516,0.008064516129032258,0.08064516129032258
JJ,expected_char_class,whitespace,27,19,8,8,6.399559594750944,0.981272229917547,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,expected_hand_proxy,<missing>,15,13,7,7,5.879153440765245,0.2038581197073599,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_hand_proxy,left,260,237,15,15,6.504694435049564,1.3477923051735616,0.04230769230769231,0.0038461538461538464,0.0,0.0,46345.24894514768,46439.13924050633,0.012658227848101266,0.05907172995780591
JJ,expected_hand_proxy,right,755,630,15,15,5.929866433200675,0.3185270673969934,0.08344370860927153,0.01456953642384106,0.006622516556291391,0.009271523178807948,40996.53650793651,41041.7,0.004761904761904762,0.0761904761904762
JJ,expected_hand_proxy,thumb,27,19,8,8,6.399559594750944,0.981272229917547,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,expected_layout,<missing>,15,13,7,7,5.879153440765245,0.2038581197073599,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_layout,COMMON,27,19,8,8,6.399559594750944,0.981272229917547,0.14814814814814814,0.0,0.0,0.0,43708.26315789474,43708.26315789474,0.0,0.15789473684210525
JJ,expected_layout,EN,16,8,2,2,6.6003791621156775,2.381095556733875,0.25,0.0,0.1875,0.0,21974.125,21974.125,0.0,0.625
JJ,expected_layout,TH,999,859,15,15,6.068732375961507,0.5533697760982121,0.07007007007007007,0.012012012012012012,0.002002002002002002,0.007007007007007007,42649.416763678695,42708.44470314319,0.006984866123399301,0.06635622817229336
JJ,expected_shift_required,0,980,838,15,15,6.035748745814765,0.4811759836060186,0.07244897959183673,0.011224489795918367,0.00510204081632653,0.007142857142857143,42037.15751789976,42097.6646778043,0.007159904534606206,0.07040572792362769
JJ,expected_shift_required,1,62,48,12,12,6.871355618374233,2.352513250060186,0.11290322580645161,0.016129032258064516,0.0,0.0,50311.6875,50311.6875,0.0,0.125
JJ,expected_shift_required,<missing>,15,13,7,7,5.879153440765245,0.2038581197073599,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_zone_proxy,<missing>,15,13,7,7,5.879153440765245,0.2038581197073599,0.06666666666666667,0.0,0.0,0.0,55505.0,55505.0,0.0,0.07692307692307693
JJ,expected_zone_proxy,center,278,214,15,15,5.90678788971861,0.1656432190074652,0.11870503597122302,0.02877697841726619,0.007194244604316547,0.014388489208633094,40486.1261682243,40486.1261682243,0.0,0.102803738317757
JJ,expected_zone_proxy,left,260,237,15,15,6.504694435049564,1.3477923051735616,0.04230769230769231,0.0038461538461538464,0.0,0.0,46345.24894514768,46439.13924050633,0.012658227848101266,0.05907172995780591
