trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_typing_order,length_class,condition,duration_ms,first_key_latency_ms,event_count,insert_count,delete_count,mean_dt_ms,median_dt_ms,mean_friction,max_friction,total_time_in_error_ms,number_of_error_episodes,maximum_wrong_suffix_depth,mean_planned_geometry_burden,layout_switch_count,shift_required_count,near_key_typo_count,layout_confusion_count,shift_confusion_count,prompt_source,prompt_text,prompt_length,final_reconstructed_text,final_prefix_match_len,final_resulting_text_length,qc_prompt_available_ok,qc_event_index_ok,qc_time_monotonic_ok,qc_append_pop_ok,qc_reconstruction_ok,qc_exact_match_ok,all_core_qc_ok
20260419145443-omhtrx__4__P03,20260419145443-omhtrx,JJ,4,main,P03,4,short,formal_register,21867,4605,38,34,4,575.4473684210526,291.0,0.1274170502559333,0.9526049234247079,1379.0,1,3,-0.11217736845798447,0.0,1.0,1,0,0,prompt_table,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,30,1,1,1,1,1,1,1
20260419145443-omhtrx__5__P05,20260419145443-omhtrx,JJ,5,main,P05,5,short,twisted_proverb,28706,1369,45,38,7,637.9111111111112,396.0,0.23020999534252254,0.8746962370763818,2214.0,2,2,0.8074162746195389,0.0,0.0,0,0,0,prompt_table,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,31,1,1,1,1,1,1,1
20260419145443-omhtrx__6__P09,20260419145443-omhtrx,JJ,6,main,P09,6,medium,arabic_numerals,42813,2008,60,53,7,713.55,405.5,0.1958165206118333,0.8537673388708046,4253.0,5,3,0.0056059970257988255,0.0,3.0,0,2,0,prompt_table,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,46,1,1,1,1,1,1,1
20260419145443-omhtrx__7__P11,20260419145443-omhtrx,JJ,7,main,P11,7,medium,rhythmic_repetition,65851,26420,44,42,2,1496.6136363636363,498.0,0.2439021990215223,1.5646743649757284,2989.0,2,1,0.0625905104594492,0.0,0.0,0,0,0,prompt_table,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,1,1,1,1,1,1,1
20260419145443-omhtrx__8__P10,20260419145443-omhtrx,JJ,8,main,P10,8,medium,thai_numerals,50582,9096,62,54,8,815.8387096774194,439.0,0.22210968228179837,1.2781110914738838,6469.0,5,4,0.0355372482628286,0.0,8.0,0,2,0,prompt_table,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,46,1,1,1,1,1,1,1
20260419145443-omhtrx__9__P06,20260419145443-omhtrx,JJ,9,main,P06,9,medium,mixed_symbols_identification,39495,1606,60,56,4,658.25,456.5,0.20059997830207946,1.1280972732553824,2634.0,4,1,0.25167017062385666,5.0,0.0,1,1,0,prompt_table,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,52,1,1,1,1,1,1,1
20260420042552-1pdrvw3__0__PRACTICE,20260420042552-1pdrvw3,sine,0,practice,PRACTICE,0,practice,practice_warmup,17420,4863,37,37,0,470.81081081081084,240.0,0.0021147037676355496,0.9717019117489444,0.0,0,0,0.22037859980051172,0.0,2.0,0,0,0,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260420042552-1pdrvw3__10__P08,20260420042552-1pdrvw3,sine,10,main,P08,10,medium,formal_lexical_difficulty,22166,1128,62,59,3,357.51612903225805,293.0,-0.01670471530913516,0.5319978379953058,1352.0,3,1,-0.2404480005999559,0.0,1.0,2,0,0,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260420042552-1pdrvw3__11__P07,20260420042552-1pdrvw3,sine,11,main,P07,11,medium,formal_educational,26300,1249,74,70,4,355.4054054054054,253.5,0.0069275682054306485,0.8745865870144682,2224.0,1,4,-0.04504585418862395,0.0,2.0,1,0,0,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
20260420042552-1pdrvw3__12__P12,20260420042552-1pdrvw3,sine,12,main,P12,12,long,long_familiar_expository,54298,1304,141,134,7,385.0921985815603,279.0,0.053331885090429784,0.7650060909279358,3349.0,3,5,0.18016209519512533,0.0,5.0,2,0,1,prompt_table,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,วันนี้ครูขอให้นักเรียนเขียนสรุปเรื่องสุภาษิตไทยอย่างกระชับและชัดเจน โดยให้ยกตัวอย่างหนึ่งสำนวนและอธิบายความหมายด้วยภาษาของตนเอง,127,127,1,1,1,1,1,1,1
20260420042552-1pdrvw3__13__P14,20260420042552-1pdrvw3,sine,13,main,P14,13,long,long_mixed_difficulty,86920,2235,177,161,16,491.0734463276836,319.0,0.08550391252983336,0.6993846627433734,6308.0,9,2,-0.05061285078557627,0.0,15.0,4,0,1,prompt_table,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,สวัสดีคุณชาคริษฐ์ วันนี้เราขอให้คุณจัดทำหนังสือเรื่องการสอนภาษาไทยสำหรับนักเรียนชั้นมัธยมศึกษาปีที่ ๖ เพื่อเป็นวิทยาทานแก่โรงเรียนในเครือพันธมิตร,145,145,1,1,1,1,1,1,1
20260420042552-1pdrvw3__14__P13,20260420042552-1pdrvw3,sine,14,main,P13,14,long,long_formal_bureaucratic,68188,1468,171,157,14,398.7602339181287,291.0,0.08711371994059168,1.0289906368605934,6991.0,5,6,0.27659066825553436,0.0,10.0,5,0,0,prompt_table,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,ทางคณะผู้จัดทำขอความกรุณาให้นักเรียนจัดทำรายงานเรื่องสุภาษิตและคำพังเพย โดยเขียนอธิบายเนื้อหาให้ครบถ้วนเพื่อเป็นประโยชน์ต่อการเรียนรู้ในภายหลัง,143,143,1,1,1,1,1,1,1
20260420042552-1pdrvw3__1__P01,20260420042552-1pdrvw3,sine,1,main,P01,1,short,familiar_baseline,11199,2473,28,28,0,399.9642857142857,258.0,-0.05695876135351646,0.7348262993504018,0.0,0,0,-0.24358572739369033,0.0,1.0,0,0,0,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260420042552-1pdrvw3__2__P02,20260420042552-1pdrvw3,sine,2,main,P02,2,short,familiar_polite,10622,1358,25,24,1,424.88,261.0,0.0645540542330875,0.5356695260837824,788.0,1,1,0.19097325449731017,0.0,1.0,1,0,0,prompt_table,กรุณาตอบกลับภายในวันนี้,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260420042552-1pdrvw3__3__P04,20260420042552-1pdrvw3,sine,3,main,P04,3,short,orthographic_named_entity,17085,1432,37,33,4,461.7567567567568,304.0,0.09739944873348089,0.8052978167429823,2465.0,2,2,0.1159137165179048,0.0,7.0,0,0,0,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
