source_node_id,target_node_id,source_physical_key_id,target_physical_key_id,source_keycode,target_keycode,distance,is_adjacent
BracketLeft,KeyM,BracketLeft,KeyM,219,77,4.0,0
BracketLeft,KeyN,BracketLeft,KeyN,219,78,5.0,0
BracketLeft,KeyO,BracketLeft,KeyO,219,79,2.0,0
BracketLeft,KeyP,BracketLeft,KeyP,219,80,1.0,1
BracketLeft,KeyQ,BracketLeft,KeyQ,219,81,10.0,0
BracketLeft,KeyR,BracketLeft,KeyR,219,82,7.0,0
BracketLeft,KeyS,BracketLeft,KeyS,219,83,9.0,0
BracketLeft,KeyT,BracketLeft,KeyT,219,84,6.0,0
BracketLeft,KeyU,BracketLeft,KeyU,219,85,4.0,0
BracketLeft,KeyV,BracketLeft,KeyV,219,86,7.0,0
BracketLeft,KeyW,BracketLeft,KeyW,219,87,9.0,0
BracketLeft,KeyX,BracketLeft,KeyX,219,88,9.0,0
BracketLeft,KeyY,BracketLeft,KeyY,219,89,5.0,0
BracketLeft,KeyZ,BracketLeft,KeyZ,219,90,10.0,0
BracketLeft,Minus,BracketLeft,Minus,219,189,1.0,1
BracketLeft,Period,BracketLeft,Period,219,190,2.0,0
BracketLeft,Quote,BracketLeft,Quote,219,222,1.0,1
BracketLeft,Semicolon,BracketLeft,Semicolon,219,186,1.0,1
BracketLeft,Slash,BracketLeft,Slash,219,191,2.0,0
BracketLeft,Space,BracketLeft,Space,219,32,,0
BracketRight,Backquote,BracketRight,Backquote,221,192,12.0,0
BracketRight,Backslash,BracketRight,Backslash,221,220,1.0,1
BracketRight,BracketLeft,BracketRight,BracketLeft,221,219,1.0,1
BracketRight,BracketRight,BracketRight,BracketRight,221,221,0.0,0
BracketRight,Comma,BracketRight,Comma,221,188,4.0,0
BracketRight,Digit0,BracketRight,Digit0,221,48,2.0,0
BracketRight,Digit1,BracketRight,Digit1,221,49,11.0,0
BracketRight,Digit2,BracketRight,Digit2,221,50,10.0,0
BracketRight,Digit3,BracketRight,Digit3,221,51,9.0,0
BracketRight,Digit4,BracketRight,Digit4,221,52,8.0,0
BracketRight,Digit5,BracketRight,Digit5,221,53,7.0,0
BracketRight,Digit6,BracketRight,Digit6,221,54,6.0,0
BracketRight,Digit7,BracketRight,Digit7,221,55,5.0,0
BracketRight,Digit8,BracketRight,Digit8,221,56,4.0,0
BracketRight,Digit9,BracketRight,Digit9,221,57,3.0,0
BracketRight,Equal,BracketRight,Equal,221,187,1.0,1
BracketRight,KeyA,BracketRight,KeyA,221,65,11.0,0
BracketRight,KeyB,BracketRight,KeyB,221,66,7.0,0
BracketRight,KeyC,BracketRight,KeyC,221,67,9.0,0
BracketRight,KeyD,BracketRight,KeyD,221,68,9.0,0
BracketRight,KeyE,BracketRight,KeyE,221,69,9.0,0
BracketRight,KeyF,BracketRight,KeyF,221,70,8.0,0
BracketRight,KeyG,BracketRight,KeyG,221,71,7.0,0
BracketRight,KeyH,BracketRight,KeyH,221,72,6.0,0
BracketRight,KeyI,BracketRight,KeyI,221,73,4.0,0
BracketRight,KeyJ,BracketRight,KeyJ,221,74,5.0,0
BracketRight,KeyK,BracketRight,KeyK,221,75,4.0,0
BracketRight,KeyL,BracketRight,KeyL,221,76,3.0,0
BracketRight,KeyM,BracketRight,KeyM,221,77,5.0,0
BracketRight,KeyN,BracketRight,KeyN,221,78,6.0,0
BracketRight,KeyO,BracketRight,KeyO,221,79,3.0,0
BracketRight,KeyP,BracketRight,KeyP,221,80,2.0,0
BracketRight,KeyQ,BracketRight,KeyQ,221,81,11.0,0
BracketRight,KeyR,BracketRight,KeyR,221,82,8.0,0
BracketRight,KeyS,BracketRight,KeyS,221,83,10.0,0
BracketRight,KeyT,BracketRight,KeyT,221,84,7.0,0
BracketRight,KeyU,BracketRight,KeyU,221,85,5.0,0
BracketRight,KeyV,BracketRight,KeyV,221,86,8.0,0
BracketRight,KeyW,BracketRight,KeyW,221,87,10.0,0
BracketRight,KeyX,BracketRight,KeyX,221,88,10.0,0
BracketRight,KeyY,BracketRight,KeyY,221,89,6.0,0
BracketRight,KeyZ,BracketRight,KeyZ,221,90,11.0,0
BracketRight,Minus,BracketRight,Minus,221,189,1.0,1
BracketRight,Period,BracketRight,Period,221,190,3.0,0
BracketRight,Quote,BracketRight,Quote,221,222,1.0,1
BracketRight,Semicolon,BracketRight,Semicolon,221,186,2.0,0
BracketRight,Slash,BracketRight,Slash,221,191,2.0,0
BracketRight,Space,BracketRight,Space,221,32,,0
Comma,Backquote,Comma,Backquote,188,192,8.0,0
Comma,Backslash,Comma,Backslash,188,220,5.0,0
Comma,BracketLeft,Comma,BracketLeft,188,219,3.0,0
Comma,BracketRight,Comma,BracketRight,188,221,4.0,0
Comma,Comma,Comma,Comma,188,188,0.0,0
Comma,Digit0,Comma,Digit0,188,48,3.0,0
Comma,Digit1,Comma,Digit1,188,49,7.0,0
Comma,Digit2,Comma,Digit2,188,50,6.0,0
Comma,Digit3,Comma,Digit3,188,51,5.0,0
Comma,Digit4,Comma,Digit4,188,52,4.0,0
Comma,Digit5,Comma,Digit5,188,53,3.0,0
Comma,Digit6,Comma,Digit6,188,54,3.0,0
Comma,Digit7,Comma,Digit7,188,55,3.0,0
Comma,Digit8,Comma,Digit8,188,56,3.0,0
Comma,Digit9,Comma,Digit9,188,57,3.0,0
Comma,Equal,Comma,Equal,188,187,4.0,0
Comma,KeyA,Comma,KeyA,188,65,7.0,0
Comma,KeyB,Comma,KeyB,188,66,3.0,0
Comma,KeyC,Comma,KeyC,188,67,5.0,0
Comma,KeyD,Comma,KeyD,188,68,5.0,0
Comma,KeyE,Comma,KeyE,188,69,5.0,0
Comma,KeyF,Comma,KeyF,188,70,4.0,0
Comma,KeyG,Comma,KeyG,188,71,3.0,0
Comma,KeyH,Comma,KeyH,188,72,2.0,0
Comma,KeyI,Comma,KeyI,188,73,2.0,0
Comma,KeyJ,Comma,KeyJ,188,74,1.0,1
Comma,KeyK,Comma,KeyK,188,75,1.0,1
Comma,KeyL,Comma,KeyL,188,76,1.0,1
Comma,KeyM,Comma,KeyM,188,77,1.0,1
Comma,KeyN,Comma,KeyN,188,78,2.0,0
Comma,KeyO,Comma,KeyO,188,79,2.0,0
Comma,KeyP,Comma,KeyP,188,80,2.0,0
Comma,KeyQ,Comma,KeyQ,188,81,7.0,0
Comma,KeyR,Comma,KeyR,188,82,4.0,0
Comma,KeyS,Comma,KeyS,188,83,6.0,0
Comma,KeyT,Comma,KeyT,188,84,3.0,0
Comma,KeyU,Comma,KeyU,188,85,2.0,0
Comma,KeyV,Comma,KeyV,188,86,4.0,0
Comma,KeyW,Comma,KeyW,188,87,6.0,0
Comma,KeyX,Comma,KeyX,188,88,6.0,0
Comma,KeyY,Comma,KeyY,188,89,2.0,0
Comma,KeyZ,Comma,KeyZ,188,90,7.0,0
Comma,Minus,Comma,Minus,188,189,3.0,0
Comma,Period,Comma,Period,188,190,1.0,1
Comma,Quote,Comma,Quote,188,222,3.0,0
Comma,Semicolon,Comma,Semicolon,188,186,2.0,0
Comma,Slash,Comma,Slash,188,191,2.0,0
Comma,Space,Comma,Space,188,32,,0
Digit0,Backquote,Digit0,Backquote,48,192,10.0,0
Digit0,Backslash,Digit0,Backslash,48,220,3.0,0
Digit0,BracketLeft,Digit0,BracketLeft,48,219,1.0,1
Digit0,BracketRight,Digit0,BracketRight,48,221,2.0,0
Digit0,Comma,Digit0,Comma,48,188,3.0,0
Digit0,Digit0,Digit0,Digit0,48,48,0.0,0
Digit0,Digit1,Digit0,Digit1,48,49,9.0,0
Digit0,Digit2,Digit0,Digit2,48,50,8.0,0
Digit0,Digit3,Digit0,Digit3,48,51,7.0,0
Digit0,Digit4,Digit0,Digit4,48,52,6.0,0
Digit0,Digit5,Digit0,Digit5,48,53,5.0,0
Digit0,Digit6,Digit0,Digit6,48,54,4.0,0
Digit0,Digit7,Digit0,Digit7,48,55,3.0,0
Digit0,Digit8,Digit0,Digit8,48,56,2.0,0
Digit0,Digit9,Digit0,Digit9,48,57,1.0,1
Digit0,Equal,Digit0,Equal,48,187,2.0,0
Digit0,KeyA,Digit0,KeyA,48,65,9.0,0
Digit0,KeyB,Digit0,KeyB,48,66,5.0,0
Digit0,KeyC,Digit0,KeyC,48,67,7.0,0
Digit0,KeyD,Digit0,KeyD,48,68,7.0,0
Digit0,KeyE,Digit0,KeyE,48,69,7.0,0
Digit0,KeyF,Digit0,KeyF,48,70,6.0,0
Digit0,KeyG,Digit0,KeyG,48,71,5.0,0
Digit0,KeyH,Digit0,KeyH,48,72,4.0,0
Digit0,KeyI,Digit0,KeyI,48,73,2.0,0
Digit0,KeyJ,Digit0,KeyJ,48,74,3.0,0
Digit0,KeyK,Digit0,KeyK,48,75,2.0,0
Digit0,KeyL,Digit0,KeyL,48,76,2.0,0
Digit0,KeyM,Digit0,KeyM,48,77,3.0,0
Digit0,KeyN,Digit0,KeyN,48,78,4.0,0
Digit0,KeyO,Digit0,KeyO,48,79,1.0,1
Digit0,KeyP,Digit0,KeyP,48,80,1.0,1
Digit0,KeyQ,Digit0,KeyQ,48,81,9.0,0
Digit0,KeyR,Digit0,KeyR,48,82,6.0,0
Digit0,KeyS,Digit0,KeyS,48,83,8.0,0
Digit0,KeyT,Digit0,KeyT,48,84,5.0,0
Digit0,KeyU,Digit0,KeyU,48,85,3.0,0
Digit0,KeyV,Digit0,KeyV,48,86,6.0,0
Digit0,KeyW,Digit0,KeyW,48,87,8.0,0
Digit0,KeyX,Digit0,KeyX,48,88,8.0,0
Digit0,KeyY,Digit0,KeyY,48,89,4.0,0
Digit0,KeyZ,Digit0,KeyZ,48,90,9.0,0
Digit0,Minus,Digit0,Minus,48,189,1.0,1
Digit0,Period,Digit0,Period,48,190,3.0,0
Digit0,Quote,Digit0,Quote,48,222,2.0,0
Digit0,Semicolon,Digit0,Semicolon,48,186,2.0,0
Digit0,Slash,Digit0,Slash,48,191,3.0,0
Digit0,Space,Digit0,Space,48,32,,0
Digit1,Backquote,Digit1,Backquote,49,192,1.0,1
Digit1,Backslash,Digit1,Backslash,49,220,12.0,0
Digit1,BracketLeft,Digit1,BracketLeft,49,219,10.0,0
Digit1,BracketRight,Digit1,BracketRight,49,221,11.0,0
Digit1,Comma,Digit1,Comma,49,188,7.0,0
Digit1,Digit0,Digit1,Digit0,49,48,9.0,0
Digit1,Digit1,Digit1,Digit1,49,49,0.0,0
Digit1,Digit2,Digit1,Digit2,49,50,1.0,1
Digit1,Digit3,Digit1,Digit3,49,51,2.0,0
Digit1,Digit4,Digit1,Digit4,49,52,3.0,0
Digit1,Digit5,Digit1,Digit5,49,53,4.0,0
Digit1,Digit6,Digit1,Digit6,49,54,5.0,0
Digit1,Digit7,Digit1,Digit7,49,55,6.0,0
Digit1,Digit8,Digit1,Digit8,49,56,7.0,0
Digit1,Digit9,Digit1,Digit9,49,57,8.0,0
Digit1,Equal,Digit1,Equal,49,187,11.0,0
Digit1,KeyA,Digit1,KeyA,49,65,2.0,0
Digit1,KeyB,Digit1,KeyB,49,66,4.0,0
Digit1,KeyC,Digit1,KeyC,49,67,3.0,0
Digit1,KeyD,Digit1,KeyD,49,68,2.0,0
Digit1,KeyE,Digit1,KeyE,49,69,2.0,0
Digit1,KeyF,Digit1,KeyF,49,70,3.0,0
Digit1,KeyG,Digit1,KeyG,49,71,4.0,0
Digit1,KeyH,Digit1,KeyH,49,72,5.0,0
Digit1,KeyI,Digit1,KeyI,49,73,7.0,0
Digit1,KeyJ,Digit1,KeyJ,49,74,6.0,0
Digit1,KeyK,Digit1,KeyK,49,75,7.0,0
Digit1,KeyL,Digit1,KeyL,49,76,8.0,0
Digit1,KeyM,Digit1,KeyM,49,77,6.0,0
Digit1,KeyN,Digit1,KeyN,49,78,5.0,0
Digit1,KeyO,Digit1,KeyO,49,79,8.0,0
Digit1,KeyP,Digit1,KeyP,49,80,9.0,0
Digit1,KeyQ,Digit1,KeyQ,49,81,1.0,1
Digit1,KeyR,Digit1,KeyR,49,82,3.0,0
Digit1,KeyS,Digit1,KeyS,49,83,2.0,0
Digit1,KeyT,Digit1,KeyT,49,84,4.0,0
Digit1,KeyU,Digit1,KeyU,49,85,6.0,0
Digit1,KeyV,Digit1,KeyV,49,86,3.0,0
Digit1,KeyW,Digit1,KeyW,49,87,1.0,1
Digit1,KeyX,Digit1,KeyX,49,88,3.0,0
Digit1,KeyY,Digit1,KeyY,49,89,5.0,0
Digit1,KeyZ,Digit1,KeyZ,49,90,3.0,0
Digit1,Minus,Digit1,Minus,49,189,10.0,0
Digit1,Period,Digit1,Period,49,190,8.0,0
Digit1,Quote,Digit1,Quote,49,222,10.0,0
Digit1,Semicolon,Digit1,Semicolon,49,186,9.0,0
Digit1,Slash,Digit1,Slash,49,191,9.0,0
Digit1,Space,Digit1,Space,49,32,,0
Digit2,Backquote,Digit2,Backquote,50,192,2.0,0
Digit2,Backslash,Digit2,Backslash,50,220,11.0,0
Digit2,BracketLeft,Digit2,BracketLeft,50,219,9.0,0
Digit2,BracketRight,Digit2,BracketRight,50,221,10.0,0
Digit2,Comma,Digit2,Comma,50,188,6.0,0
Digit2,Digit0,Digit2,Digit0,50,48,8.0,0
Digit2,Digit1,Digit2,Digit1,50,49,1.0,1
Digit2,Digit2,Digit2,Digit2,50,50,0.0,0
Digit2,Digit3,Digit2,Digit3,50,51,1.0,1
Digit2,Digit4,Digit2,Digit4,50,52,2.0,0
Digit2,Digit5,Digit2,Digit5,50,53,3.0,0
Digit2,Digit6,Digit2,Digit6,50,54,4.0,0
Digit2,Digit7,Digit2,Digit7,50,55,5.0,0
Digit2,Digit8,Digit2,Digit8,50,56,6.0,0
Digit2,Digit9,Digit2,Digit9,50,57,7.0,0
Digit2,Equal,Digit2,Equal,50,187,10.0,0
Digit2,KeyA,Digit2,KeyA,50,65,2.0,0
Digit2,KeyB,Digit2,KeyB,50,66,3.0,0
Digit2,KeyC,Digit2,KeyC,50,67,3.0,0
Digit2,KeyD,Digit2,KeyD,50,68,2.0,0
Digit2,KeyE,Digit2,KeyE,50,69,1.0,1
Digit2,KeyF,Digit2,KeyF,50,70,2.0,0
Digit2,KeyG,Digit2,KeyG,50,71,3.0,0
