trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_position,prompt_position_1based,time_to_first_correct_ms,time_to_stability_ms,revisions,wrong_first
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,3,4,1190,1190,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,4,5,1521,1521,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,5,6,1755,1755,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,6,7,1885,1885,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,7,8,1993,1993,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,8,9,2085,2085,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,9,10,2202,2202,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,10,11,2282,2282,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,11,12,2427,2427,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,12,13,2502,2502,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,13,14,2684,2684,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,14,15,2714,2714,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,15,16,2954,2954,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,16,17,3044,3044,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,17,18,3286,3286,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,18,19,3424,3424,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,19,20,3525,3525,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,20,21,3690,3690,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,21,22,3793,3793,0,0
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,22,23,4030,4030,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,0,1,718,718,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,1,2,829,829,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,2,3,958,958,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,3,4,1018,1018,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,4,5,1365,1365,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,5,6,1613,1613,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,6,7,1671,1671,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,7,8,1769,1769,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,8,9,1886,1886,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,9,10,1987,1987,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,10,11,2247,2247,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,11,12,2521,2521,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,12,13,2751,2751,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,13,14,2996,2996,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,14,15,3139,3139,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,15,16,3238,3238,0,0
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,16,17,3397,3397,0,0
