participant_code,P01,P02,P04,P03,P05,P09,P11,P10,P06,P08,P07,P12,P14,P13
Bao,-0.1430886596384327,-0.0149328301657924,-0.0337843543882307,0.05712670505275,-0.0564583369341873,0.0149051342533709,-0.0270762676550663,0.0253576884301352,0.0384469564563915,-0.1885988175660423,-0.0623510879564056,1.053934618434664,-0.0897033532213284,-0.0442168349668552
name,0.0520611155807745,-0.1126539062972216,0.0828251826106974,0.0243266852129749,0.0798052399860708,0.0239080958390919,0.0227844711064777,0.0544688990053873,0.0717768322108294,-0.0923015632921753,0.0253972197320737,0.0355100259672323,0.0144912273244145,0.0084440487229902
เทพซ่า676767677,-0.0832255298041291,0.0218886289999788,0.0054184637786798,0.0102095784012776,0.079864834378262,-5.612680219152048e-05,0.050810928434555,0.0596744440144134,0.1726927138205289,-0.063342614781468,-0.0467317972285708,0.0496421975139621,-0.0057759582329366,0.0210455946898031
น้ำ,-0.0992403570859219,0.0364328159545181,0.0558901143015304,0.0305052378078639,0.0992712058687841,0.0119245999988741,0.0014603758333445,0.0532011376148292,-0.0205726551046334,-0.0973621634413612,-0.0589657464251935,-0.0121015905100616,0.0174425686816267,-0.0210938737645876
Naenon,-0.1647275385823113,0.0378473087704929,0.0293393946898897,-0.0286699067538998,0.0694195960154985,0.0222671477252319,-0.0284456298672899,0.1064184738223721,0.0086438518210738,-0.0791331926376412,-0.0560452159785257,0.0111029859881881,-0.0117048363856907,-0.0162048685066464
champion,-0.0535509093940701,-0.042470581462624,0.0148561716358834,-0.0136877987594422,0.071257835257148,0.0271541898594988,-0.0856018865811564,0.1545687766058343,-0.0358903287132492,-0.0808068944708466,-0.0348280476179867,-0.0243941731208609,-0.0489294666281607,-0.0175559558458163
Kuga,-0.1220577445445693,-0.0437839453732881,-0.0084689576845118,-0.0385448272054302,-0.0189821711778458,-0.0756491662013226,-0.0170284834190811,0.0640867688018462,0.0293337352777535,-0.0964857697148549,-0.0774822535461053,-0.0349268293463944,0.0023929075811528,-0.0345591984493749
M,-0.1139816773920491,-0.0799060037228158,-0.0512422236505434,0.0215584188815941,-0.0865989026374396,-0.028271557324687,-0.0994035730699363,0.0765769757232689,-0.0072180477316704,-0.1252760647253108,-0.0113595206386171,-0.055800955109568,-0.0232008692284296,0.0290424503466517
Micky,-0.0484558224339807,-0.0627829546086548,-0.0240352996526897,-0.1131094377603354,-0.0102026372712924,-0.0669799361703234,0.1895663519154035,0.0235951075598496,-0.0494908509790792,-0.051241702120169,-0.1266682069423196,-0.0959671229000965,-0.0749851969599805,-0.0445621201377745
gobgab,-0.147091478462656,-0.0855973359767713,-0.036338541865997,-0.0717749924877654,-0.0621813838507836,-0.0332270033277422,-0.0396036726843338,0.0809350419005847,0.0603894300272279,-0.1407334858782298,-0.127367383491479,-0.0331366927901813,-0.0513768655713473,-0.0484693951044802
Kurosagi Ichigo,-0.1789548039167572,-0.0403850027630583,-0.0637080100354443,-0.084960874679794,0.1450393095858271,-0.0909785584602976,-0.0699863998159373,-0.0018583186442731,-0.0642983371993455,-0.0801328305888463,-0.0623022596781438,-0.0901140892552482,-0.0734445767140142,-0.0655379044763278
เจ,-0.2794067344418677,-0.1853165542848688,-0.1021237790261996,-0.1093027970802835,-0.0799871294175596,-0.1696270969841322,-0.2178230167300013,-0.0038013170060993,-0.09850846608542,-0.1146378123541074,-0.1645042559377987,-0.1485419363974554,-0.12100726732773,-0.1650178462121178
Chokdee`,-0.1531413968383716,-0.1836910487704268,-0.1097843177788528,-0.1469481653366644,-0.1295486309649255,-0.1114627799564053,-0.1754123186445635,0.0511606514907578,-0.1405669710528981,-0.266306728746182,-0.23776525384882,-0.1844754345466868,-0.1710615143594673,-0.1060975925431956
Tack,-0.2624991143306702,-0.18405420797627,-0.2245463392275273,-0.2341472198133396,-0.0279429295168466,-0.1871453471374363,-0.2658805602190189,-0.0958929563736706,-0.1432534721574898,-0.2901046649567776,-0.2774013621674766,-0.1660260255478866,-0.1436768891050148,-0.124616301097198
ก้องฟ้า,-0.2939572212532764,-0.2398476160010924,-0.182926764607321,-0.1557239130029166,-0.1783812377468939,-0.2296825032394324,-0.2011232771973795,-0.175303036048335,-0.0987894405706553,-0.2788953657893939,-0.2145017781997366,-0.1915591058510133,-0.190205999410365,-0.2134322037484994
march,-0.3544720392263222,-0.3618320546928421,-0.1715283208737901,-0.2515452175972967,-0.2068147256606765,-0.3463745713060817,-0.3072302328608208,-0.2153819723844533,-0.2504131383190835,-0.3198351802855714,-0.3182755804479645,-0.2664655896694678,-0.2908265921699002,-0.2908374015993261
