window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
20260420125333-ukjjv5__5__P05__E001,20260420125333-ukjjv5__5__P05,Kuga,P05,1,9,15,7,0,0,0,1,0.1350365939482432,,other_or_shallow_episode,twisted_proverb
20260420125333-ukjjv5__5__P05__E002,20260420125333-ukjjv5__5__P05,Kuga,P05,2,26,34,9,618,1,1,2,0.157539989795184,428.0,other_or_shallow_episode,twisted_proverb
20260420125333-ukjjv5__7__P11__E001,20260420125333-ukjjv5__7__P11,Kuga,P11,1,27,33,7,0,0,0,1,-0.3433612927167015,,other_or_shallow_episode,rhythmic_repetition
20260420125333-ukjjv5__8__P10__E001,20260420125333-ukjjv5__8__P10,Kuga,P10,1,10,16,7,0,0,0,1,0.336053268335401,,other_or_shallow_episode,thai_numerals
20260420125333-ukjjv5__8__P10__E002,20260420125333-ukjjv5__8__P10,Kuga,P10,2,12,20,9,680,1,1,2,0.4348413657195363,452.0,other_or_shallow_episode,thai_numerals
20260420125333-ukjjv5__8__P10__E003,20260420125333-ukjjv5__8__P10,Kuga,P10,3,42,50,9,2175,1,1,2,0.5897037393838239,578.0,pause_then_delete,thai_numerals
20260420125333-ukjjv5__9__P06__E001,20260420125333-ukjjv5__9__P06,Kuga,P06,1,29,35,7,0,0,0,1,0.7441446594007319,,other_or_shallow_episode,mixed_symbols_identification
20260420151441-b4zwmo__10__P08__E001,20260420151441-b4zwmo__10__P08,Mick,P08,1,38,44,7,0,0,0,1,0.0323211626506468,,other_or_shallow_episode,formal_lexical_difficulty
20260420151441-b4zwmo__10__P08__E002,20260420151441-b4zwmo__10__P08,Mick,P08,2,44,72,29,9498,11,11,12,0.5060987188689098,3227.0,deep_overshoot_then_recovery,formal_lexical_difficulty
20260420151441-b4zwmo__11__P07__E001,20260420151441-b4zwmo__11__P07,Mick,P07,1,30,36,7,0,0,0,1,0.1521541872549545,,other_or_shallow_episode,formal_educational
20260420151441-b4zwmo__12__P12__E001,20260420151441-b4zwmo__12__P12,Mick,P12,1,77,83,7,0,0,0,1,0.1632987052999161,,other_or_shallow_episode,long_familiar_expository
20260420151441-b4zwmo__12__P12__E002,20260420151441-b4zwmo__12__P12,Mick,P12,2,108,116,9,920,1,1,2,0.2015122648798448,731.0,pause_then_delete,long_familiar_expository
20260420151441-b4zwmo__13__P14__E001,20260420151441-b4zwmo__13__P14,Mick,P14,1,106,112,7,0,0,0,1,0.3914975584368598,,other_or_shallow_episode,long_mixed_difficulty
20260420151441-b4zwmo__13__P14__E002,20260420151441-b4zwmo__13__P14,Mick,P14,2,112,122,11,2229,2,2,3,0.3484585662121959,939.0,deep_overshoot_then_recovery,long_mixed_difficulty
20260420151441-b4zwmo__14__P13__E001,20260420151441-b4zwmo__14__P13,Mick,P13,1,9,17,9,641,1,1,2,0.1223962634513986,516.0,pause_then_delete,long_formal_bureaucratic
20260420151441-b4zwmo__14__P13__E002,20260420151441-b4zwmo__14__P13,Mick,P13,2,17,29,13,2032,3,3,4,0.4663997065694145,1013.0,deep_overshoot_then_recovery,long_formal_bureaucratic
20260420151441-b4zwmo__14__P13__E003,20260420151441-b4zwmo__14__P13,Mick,P13,3,62,68,7,0,0,0,1,0.1561048957301577,,other_or_shallow_episode,long_formal_bureaucratic
20260420151441-b4zwmo__1__P01__E001,20260420151441-b4zwmo__1__P01,Mick,P01,1,1,4,4,0,0,0,1,0.5540394247892484,,other_or_shallow_episode,familiar_baseline
20260420151441-b4zwmo__4__P03__E001,20260420151441-b4zwmo__4__P03,Mick,P03,1,6,54,49,10098,21,21,22,0.7044173229443749,2357.0,deep_overshoot_then_recovery,formal_register
20260420151441-b4zwmo__5__P05__E001,20260420151441-b4zwmo__5__P05,Mick,P05,1,24,38,15,2566,4,4,5,0.4283077597119445,1265.0,deep_overshoot_then_recovery,twisted_proverb
20260420151441-b4zwmo__5__P05__E002,20260420151441-b4zwmo__5__P05,Mick,P05,2,34,48,15,2224,4,4,5,0.3163480479175391,799.0,deep_overshoot_then_recovery,twisted_proverb
20260420151441-b4zwmo__6__P09__E001,20260420151441-b4zwmo__6__P09,Mick,P09,1,9,15,7,0,0,0,1,0.2101220179816358,,other_or_shallow_episode,arabic_numerals
20260420151441-b4zwmo__6__P09__E002,20260420151441-b4zwmo__6__P09,Mick,P09,2,20,50,31,6698,12,12,13,0.3526658928794779,3019.0,deep_overshoot_then_recovery,arabic_numerals
20260420151441-b4zwmo__6__P09__E003,20260420151441-b4zwmo__6__P09,Mick,P09,3,47,55,9,1682,1,1,2,0.4677002276691109,1474.0,pause_then_delete,arabic_numerals
20260420151441-b4zwmo__7__P11__E001,20260420151441-b4zwmo__7__P11,Mick,P11,1,11,29,19,4100,6,6,7,0.2262630909101785,1483.0,deep_overshoot_then_recovery,rhythmic_repetition
20260420151441-b4zwmo__8__P10__E001,20260420151441-b4zwmo__8__P10,Mick,P10,1,32,38,7,0,0,0,1,-0.0561818058229625,,other_or_shallow_episode,thai_numerals
20260420162459-1rqejrq__10__P08__E001,20260420162459-1rqejrq__10__P08,Plub,P08,1,32,42,11,911,2,2,3,0.1000561642730899,286.0,deep_overshoot_then_recovery,formal_lexical_difficulty
20260420162459-1rqejrq__10__P08__E002,20260420162459-1rqejrq__10__P08,Plub,P08,2,40,46,7,0,0,0,1,-0.094252803702951,,other_or_shallow_episode,formal_lexical_difficulty
20260420162459-1rqejrq__10__P08__E003,20260420162459-1rqejrq__10__P08,Plub,P08,3,45,51,7,0,0,0,1,0.4414474843897149,,other_or_shallow_episode,formal_lexical_difficulty
