participant_code,profile_dimension,profile_value,n_events,n_positions,n_trials_from_events,n_trials_from_positions,mean_log_dt_ms,mean_friction,delete_rate,near_key_typo_rate,layout_confusion_rate,shift_confusion_rate,mean_time_to_first_correct_ms,mean_time_to_stability_ms,mean_revisions,wrong_first_rate
Bao,expected_zone_proxy,left,296,224,14,14,5.457961701089141,-0.002400417484542118,0.11824324324324324,0.04054054054054054,0.0033783783783783786,0.0,25929.785714285714,25952.01785714286,0.008928571428571428,0.19642857142857142
Bao,expected_zone_proxy,right,466,402,14,14,5.423970042189739,-0.06733099144677235,0.06223175965665236,0.023605150214592276,0.008583690987124463,0.002145922746781116,24638.572139303484,24840.39303482587,0.01990049751243781,0.17661691542288557
Bao,expected_zone_proxy,space,147,19,8,8,5.168878329670562,2.053051273880454,0.4421768707482993,0.0,0.0,0.0,23031.526315789473,23031.526315789473,0.0,0.2631578947368421
Bao,layout_switch_needed,0,1166,819,14,14,5.35878259906675,0.20790356911025046,0.14922813036020582,0.030017152658662092,0.002572898799313894,0.0008576329331046312,23914.89865689866,24016.015873015873,0.01098901098901099,0.16971916971916973
Bao,layout_switch_needed,1,11,3,1,1,5.860023057830204,0.4066821165061762,0.36363636363636365,0.0,0.18181818181818182,0.0,17121.0,17121.0,0.0,1.0
Bao,layout_switch_needed,<missing>,51,40,14,14,5.722935058027247,0.03702004553554526,0.09803921568627451,0.0196078431372549,0.0,0.0,15812.075,16015.575,0.05,0.075
Bao,target_distance_bin,<missing>,234,78,14,14,5.410265675936805,1.3341996478927864,0.3333333333333333,0.017094017094017096,0.01282051282051282,0.0,19610.97435897436,19736.846153846152,0.038461538461538464,0.15384615384615385
Bao,target_distance_bin,high,506,434,14,14,5.336132483657405,-0.03376617038013629,0.07114624505928854,0.017786561264822136,0.001976284584980237,0.0,24250.20737327189,24286.594470046082,0.009216589861751152,0.1497695852534562
Bao,target_distance_bin,low,207,177,14,14,5.281722932397256,-0.21008933448905848,0.06763285024154589,0.033816425120772944,0.0,0.0,23294.46327683616,23591.372881355932,0.011299435028248588,0.1751412429378531
Bao,target_distance_bin,medium,281,173,14,14,5.499176513171748,-0.010147530138416981,0.19572953736654805,0.05693950177935943,0.0035587188612099642,0.0035587188612099642,23657.699421965317,23731.64161849711,0.011560693641618497,0.2138728323699422
