short_window_id,cluster_id,window_id,trial_uid,participant_code,prompt_id,error_episode_id,window_start_event_index,window_end_event_index,window_length,episode_duration_ms,episode_delete_count,episode_recovery_step_count,max_error_suffix_depth,mean_friction,pause_before_first_delete_ms,heuristic_recovery_style,prompt_family
EP108,3,20260421074612-1pl8erz__11__P07__E001,20260421074612-1pl8erz__11__P07,champion,P07,1,1,13,13,1038,3,3,4,0.0946382459485399,232.0,deep_overshoot_then_recovery,formal_educational
EP109,3,20260422085611-ymkt5s__2__P02__E001,20260422085611-ymkt5s__2__P02,Micky,P02,1,15,27,13,845,3,3,4,-0.0206074180206086,242.0,deep_overshoot_then_recovery,familiar_polite
EP110,3,20260422124629-1ue1i6s__9__P06__E003,20260422124629-1ue1i6s__9__P06,M,P06,3,13,23,11,2492,2,2,3,0.4828938329399762,892.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP111,3,20260423060813-rjwkd0__5__P05__E001,20260423060813-rjwkd0__5__P05,Tack,P05,1,2,14,13,953,3,3,4,0.07557131305798,219.0,deep_overshoot_then_recovery,twisted_proverb
EP112,3,20260423084348-yowi25__14__P13__E016,20260423084348-yowi25__14__P13,Chokdee`,P13,16,187,199,13,834,3,3,4,0.0449896490426721,223.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP113,2,20260423022204-r0lr3h__12__P12__E010,20260423022204-r0lr3h__12__P12,name,P12,10,96,108,13,899,3,3,4,0.3013100633985003,218.0,deep_overshoot_then_recovery,long_familiar_expository
EP114,3,20260422072716-gd04si__14__P13__E005,20260422072716-gd04si__14__P13,เจ,P13,5,40,52,13,708,3,3,4,-0.0089791482803622,228.0,deep_overshoot_then_recovery,long_formal_bureaucratic
EP115,3,20260422132335-1ewston__9__P06__E008,20260422132335-1ewston__9__P06,Shimmy,P06,8,54,66,13,1070,3,3,4,0.1647985406897791,201.0,deep_overshoot_then_recovery,mixed_symbols_identification
EP116,3,20260422072537-15iap6f__8__P10__E001,20260422072537-15iap6f__8__P10,Naenon,P10,1,1,12,12,776,3,3,4,-0.1173184721406039,221.0,deep_overshoot_then_recovery,thai_numerals
EP117,3,20260423060813-rjwkd0__13__P14__E001,20260423060813-rjwkd0__13__P14,Tack,P14,1,1,12,12,958,3,3,4,0.0581432602488394,208.0,deep_overshoot_then_recovery,long_mixed_difficulty
EP118,3,20260422132335-1ewston__10__P08__E006,20260422132335-1ewston__10__P08,Shimmy,P08,6,59,71,13,918,3,3,4,0.2165210905772652,194.0,deep_overshoot_then_recovery,formal_lexical_difficulty
EP119,3,20260422132335-1ewston__11__P07__E019,20260422132335-1ewston__11__P07,Shimmy,P07,19,106,116,11,2247,2,2,3,0.2996861946757951,867.0,deep_overshoot_then_recovery,formal_educational
EP120,3,20260422072716-gd04si__4__P03__E003,20260422072716-gd04si__4__P03,เจ,P03,3,27,39,13,688,3,3,4,0.0111782141245541,195.0,deep_overshoot_then_recovery,formal_register
