prompt_id,anon_id,role,rank,subseq_start_event,mp_distance,series_length,max_depth_in_subseq,window
P14,U05,discord,3,32,2.862533651642376,165,1.0,12
P14,U06,motif,1,0,0.0,153,0.0,12
P14,U06,motif,2,13,0.0,153,0.0,12
P14,U06,motif,3,26,0.0,153,0.0,12
P14,U06,discord,1,112,2.1587609555925535,153,2.0,12
P14,U06,discord,2,0,0.0,153,0.0,12
P14,U06,discord,3,13,0.0,153,0.0,12
P14,U07,motif,1,0,0.0,157,0.0,12
P14,U07,motif,2,13,0.0,157,0.0,12
P14,U07,motif,3,26,0.0,157,1.0,12
P14,U07,discord,1,101,2.796283837682111,157,1.0,12
P14,U07,discord,2,0,0.0,157,0.0,12
P14,U07,discord,3,13,0.0,157,0.0,12
P14,U08,motif,1,0,0.0,191,0.0,12
P14,U08,motif,2,13,0.0,191,2.0,12
P14,U08,motif,3,26,0.0,191,2.0,12
P14,U08,discord,1,27,2.796283837682109,191,1.0,12
P14,U08,discord,2,107,2.158760955592552,191,1.0,12
P14,U08,discord,3,174,1.947626661310651,191,2.0,12
P14,U09,motif,1,0,0.0,159,0.0,12
P14,U09,motif,2,13,0.0,159,0.0,12
P14,U09,motif,3,26,0.0,159,1.0,12
P14,U09,discord,1,57,2.796283837682111,159,1.0,12
P14,U09,discord,2,88,2.796283837682111,159,1.0,12
P14,U09,discord,3,0,0.0,159,0.0,12
P14,U10,motif,1,0,0.0,169,0.0,12
P14,U10,motif,2,13,0.0,169,1.0,12
P14,U10,motif,3,26,0.0,169,0.0,12
P14,U10,discord,1,17,2.1587609555925527,169,1.0,12
P14,U10,discord,2,127,1.9930046909398667,169,1.0,12
P14,U10,discord,3,83,1.9752318991432443,169,3.0,12
P14,U11,motif,1,0,0.0,165,1.0,12
P14,U11,motif,2,13,0.0,165,1.0,12
P14,U11,motif,3,26,0.0,165,1.0,12
P14,U11,discord,1,128,2.796283837682111,165,1.0,12
P14,U11,discord,2,9,2.7962838376821098,165,1.0,12
P14,U11,discord,3,22,0.0,165,1.0,12
P14,U12,motif,1,14,0.0,243,1.0,12
P14,U12,motif,2,27,0.0,243,1.0,12
P14,U12,motif,3,44,0.0,243,2.0,12
P14,U12,discord,1,21,3.184900868072502,243,1.0,12
P14,U12,discord,2,197,3.031971741502098,243,3.0,12
P14,U12,discord,3,227,2.84541482778323,243,2.0,12
P14,U13,motif,1,0,0.0,155,0.0,12
P14,U13,motif,2,13,0.0,155,0.0,12
P14,U13,motif,3,26,0.0,155,0.0,12
P14,U13,discord,1,66,2.796283837682111,155,1.0,12
P14,U13,discord,2,120,2.796283837682109,155,1.0,12
P14,U13,discord,3,0,0.0,155,0.0,12
P14,U14,motif,1,0,0.0,155,0.0,12
P14,U14,motif,2,13,0.0,155,0.0,12
P14,U14,motif,3,26,0.0,155,0.0,12
P14,U14,discord,1,111,3.4641016151377544,155,3.0,12
P14,U14,discord,2,98,2.808092360627656,155,1.0,12
P14,U14,discord,3,0,0.0,155,0.0,12
P14,U15,motif,1,0,0.0,153,0.0,12
P14,U15,motif,2,13,0.0,153,0.0,12
P14,U15,motif,3,26,0.0,153,0.0,12
P14,U15,discord,1,31,2.1587609555925535,153,2.0,12
