prompt_id,anon_id,discord_rank,subseq_start_event,mp_distance,series_length
P12,U17,2,251,3.905829284668549,273
P12,U17,3,132,3.889730978335537,273
P12,U18,1,29,4.164146548221874,145
P12,U18,2,79,4.111492115264738,145
P12,U18,3,52,4.0377142782380755,145
P12,U19,1,85,4.0471964538758005,141
P12,U19,2,12,3.9913876074434937,141
P12,U19,3,119,3.9722870571173305,141
P12,U20,1,108,4.12549330195812,207
P12,U20,2,38,3.8559742772621273,207
P12,U20,3,72,3.816179406123754,207
P12,U21,1,60,4.282988336980998,139
P12,U21,2,100,4.130635042289361,139
P12,U21,3,35,3.9288758811922255,139
P12,U22,1,110,4.17077174616406,127
P12,U22,2,79,4.078685180156999,127
P12,U22,3,10,3.9933491471052216,127
P12,U23,1,0,4.150909937826026,129
P12,U23,2,37,4.051904495429803,129
P12,U23,3,80,4.027228202370972,129
P12,U24,1,44,4.058646400667902,141
P12,U24,2,9,3.9930351434097093,141
P12,U24,3,102,3.835692629671352,141
P12,U25,1,21,4.117379462921038,151
P12,U25,2,41,4.011999543935199,151
P12,U25,3,100,3.87960201209418,151
P12,U26,1,27,3.9806762886341445,205
P12,U26,2,62,3.8677115368083097,205
P12,U26,3,104,3.8589571399659603,205
P13,U01,1,74,4.069935839735847,163
P13,U01,2,136,3.991398033688556,163
P13,U01,3,6,3.7704850846691724,163
P13,U02,1,101,3.940537887723297,173
P13,U02,2,33,3.703062577975918,173
P13,U02,3,142,3.658014712615562,173
P13,U03,1,82,4.005138693897367,199
P13,U03,2,150,3.897655994575439,199
P13,U03,3,121,3.889837591319494,199
P13,U04,1,2,4.098079391653053,191
P13,U04,2,97,4.007203272052987,191
P13,U04,3,141,3.890808639333839,191
P13,U05,1,118,4.1815827188123835,147
P13,U05,2,73,4.093299462628915,147
P13,U05,3,0,3.8599747736754275,147
P13,U06,1,1,4.112421323540099,175
P13,U06,2,36,3.919631188208074,175
P13,U06,3,86,3.8877590599158034,175
P13,U07,1,77,4.125699987452038,165
P13,U07,2,107,4.045335096990317,165
P13,U07,3,7,4.036662113596015,165
P13,U08,1,73,3.9940267393314985,225
P13,U08,2,23,3.7667403312329095,225
P13,U08,3,166,3.7277913629685004,225
P13,U09,1,79,3.913847448228435,197
P13,U09,2,143,3.873269197815992,197
P13,U09,3,117,3.8436315861766777,197
P13,U10,1,120,3.9038270884723825,167
P13,U10,2,84,3.834658901649216,167
P13,U10,3,16,3.827485229477971,167
P13,U11,1,122,4.266448237775084,153
P13,U11,2,22,4.1249085699323915,153
P13,U11,3,43,3.898537025853435,153
P13,U12,1,266,3.8876995538824377,317
P13,U12,2,219,3.793378251279949,317
P13,U12,3,46,3.7887801786835746,317
P13,U13,1,73,4.055872706445363,157
P13,U13,2,23,3.973240780442073,157
P13,U13,3,42,3.8972846493072986,157
P13,U14,1,88,4.147897428044765,157
P13,U14,2,109,3.9880855858095465,157
P13,U14,3,1,3.922507264865063,157
P13,U15,1,60,4.206159694400939,149
P13,U15,2,21,4.0482284275946565,149
P13,U15,3,92,3.942804285690863,149
P13,U16,1,172,4.074099938979799,241
P13,U16,2,62,3.919382581558422,241
P13,U16,3,97,3.8708854604537786,241
P13,U17,1,138,3.9712993517071498,185
P13,U17,2,109,3.9179627276746185,185
P13,U17,3,64,3.846346548439749,185
P13,U18,1,66,4.241616949890375,173
P13,U18,2,106,4.070305121109595,173
P13,U18,3,140,4.029743838399095,173
P13,U19,1,129,3.916397779994373,171
P13,U19,2,19,3.744962941022417,171
P13,U19,3,81,3.744962941022417,171
P13,U20,1,144,3.939515715933053,247
P13,U20,2,75,3.923740444572235,247
P13,U20,3,229,3.9162722525562828,247
P13,U21,1,42,4.085118812892418,197
P13,U21,2,14,4.034360740533498,197
P13,U21,3,97,3.912586724799377,197
P13,U22,1,111,4.0219510296646455,147
P13,U22,2,63,3.9537408978174358,147
P13,U22,3,92,3.885945319329112,147
P13,U23,1,69,4.18286610261918,167
P13,U23,2,117,3.954451443442921,167
P13,U23,3,151,3.93006674559718,167
P13,U24,1,111,4.1893345500419805,157
P13,U24,2,46,4.0866537517869235,157
P13,U24,3,70,4.05244800040485,157
P13,U25,1,69,4.169668034764435,151
P13,U25,2,48,3.891214860490825,151
P13,U25,3,106,3.8096195480438144,151
P13,U26,1,203,3.960543078536613,245
P13,U26,2,2,3.8175234013564396,245
P13,U26,3,164,3.7628776335980794,245
P14,U01,1,50,4.077622365347007,167
P14,U01,2,68,3.9821299042127762,167
P14,U01,3,127,3.964347853942735,167
P14,U02,1,63,4.116804354510402,185
P14,U02,2,152,4.068349411652711,185
P14,U02,3,31,4.05122404416762,185
P14,U03,1,53,4.242047569673543,213
P14,U03,2,127,4.046134584907195,213
P14,U03,3,89,3.8875529541121723,213
P14,U04,1,108,3.9936729001016387,217
P14,U04,2,47,3.9785899438885735,217
P14,U04,3,146,3.9733428769086303,217
P14,U05,1,30,4.426171404433674,165
P14,U05,2,77,3.889727863349946,165
P14,U05,3,125,3.839313881355308,165
P14,U06,1,60,4.059914003109067,153
P14,U06,2,120,4.017023311641163,153
P14,U06,3,35,3.8558561118673045,153
P14,U07,1,67,4.24111641427587,157
P14,U07,2,37,4.052290101324381,157
P14,U07,3,122,3.940105424470161,157
P14,U08,1,126,4.0288178699777015,191
P14,U08,2,5,4.016526380114629,191
P14,U08,3,71,3.9656229957818536,191
P14,U09,1,37,4.086115243354391,159
P14,U09,2,7,4.053487489640264,159
P14,U09,3,65,4.021365690583289,159
P14,U10,1,39,4.092194822999488,169
P14,U10,2,103,4.023810835504616,169
P14,U10,3,134,3.995547047903715,169
P14,U11,1,49,4.002778903861469,165
P14,U11,2,79,3.962805852699004,165
P14,U11,3,148,3.939890061648734,165
P14,U12,1,129,3.894164248965307,243
P14,U12,2,33,3.852887856779749,243
P14,U12,3,192,3.757771283721716,243
P14,U13,1,54,4.222046060397742,155
P14,U13,2,18,3.9431227795138377,155
P14,U13,3,37,3.942582390995016,155
P14,U14,1,52,4.009719352226824,155
P14,U14,2,128,3.981674538518239,155
P14,U14,3,71,3.929978929838937,155
P14,U15,1,10,4.129845320966361,153
P14,U15,2,113,4.029122223355154,153
P14,U15,3,90,3.9861527452269216,153
P14,U16,1,45,3.8289757370550213,251
P14,U16,2,93,3.812750057311145,251
P14,U16,3,228,3.812750057311145,251
P14,U17,1,30,4.153426320138501,177
P14,U17,2,159,4.053050325374176,177
P14,U17,3,55,4.020978038089137,177
P14,U18,1,132,3.998676397359193,173
P14,U18,2,12,3.9574444298267952,173
P14,U18,3,31,3.9254378983070506,173
P14,U19,1,158,4.028183079080184,177
P14,U19,2,82,3.974723977758166,177
P14,U19,3,3,3.9519794167040465,177
P14,U20,1,180,3.973360687387671,241
P14,U20,2,11,3.7890253975507204,241
P14,U20,3,144,3.7794460159838423,241
P14,U21,1,58,3.961788528831939,153
P14,U21,2,0,3.95709676860805,153
P14,U21,3,84,3.956970446324354,153
P14,U22,1,76,4.227911945469389,157
P14,U22,2,7,4.068807313601647,157
P14,U22,3,127,4.058605392277242,157
P14,U23,1,54,4.2932940156515915,147
P14,U23,2,86,4.136849998393564,147
P14,U23,3,24,4.017744458593829,147
P14,U24,1,92,4.1142014938499125,179
P14,U24,2,120,4.078511100110752,179
P14,U24,3,150,3.9998068003840035,179
P14,U25,1,37,4.2574319930855244,171
P14,U25,2,14,3.875399894558404,171
P14,U25,3,135,3.8745470601399745,171
P14,U26,1,74,4.056449757115843,271
P14,U26,2,41,3.901483709439927,271
P14,U26,3,141,3.8456922899606014,271
