prompt_id,anon_id,role,rank,subseq_start_event,subseq_end_event,mp_distance,series_length,window
P13,U10,discord,1,120,135,3.9038270884723825,167,16
P13,U10,discord,2,84,99,3.834658901649216,167,16
P13,U10,discord,3,16,31,3.827485229477971,167,16
P13,U11,motif,1,36,51,2.612020061863807,153,16
P13,U11,motif,2,135,150,2.612020061863807,153,16
P13,U11,motif,3,65,80,2.6600472495480463,153,16
P13,U11,discord,1,122,137,4.266448237775084,153,16
P13,U11,discord,2,22,37,4.1249085699323915,153,16
P13,U11,discord,3,43,58,3.898537025853435,153,16
P13,U12,motif,1,72,87,1.835423042499106,317,16
P13,U12,motif,2,280,295,1.835423042499106,317,16
P13,U12,motif,3,2,17,2.531829884929594,317,16
P13,U12,discord,1,266,281,3.8876995538824377,317,16
P13,U12,discord,2,219,234,3.793378251279949,317,16
P13,U12,discord,3,46,61,3.7887801786835746,317,16
P13,U13,motif,1,86,101,2.260112222886143,157,16
P13,U13,motif,2,125,140,2.260112222886143,157,16
P13,U13,motif,3,33,48,2.5124546890905877,157,16
P13,U13,discord,1,73,88,4.055872706445363,157,16
P13,U13,discord,2,23,38,3.973240780442073,157,16
P13,U13,discord,3,42,57,3.8972846493072986,157,16
P13,U14,motif,1,21,36,2.712541012793936,157,16
P13,U14,motif,2,127,142,2.712541012793936,157,16
P13,U14,motif,3,44,59,2.7456558726965494,157,16
P13,U14,discord,1,88,103,4.147897428044765,157,16
P13,U14,discord,2,109,124,3.9880855858095465,157,16
P13,U14,discord,3,1,16,3.922507264865063,157,16
P13,U15,motif,1,46,61,2.3637799436764237,149,16
P13,U15,motif,2,108,123,2.3637799436764237,149,16
P13,U15,motif,3,11,26,2.59302433342016,149,16
P13,U15,discord,1,60,75,4.206159694400939,149,16
P13,U15,discord,2,21,36,4.0482284275946565,149,16
P13,U15,discord,3,92,107,3.942804285690863,149,16
P13,U16,motif,1,5,20,2.350736714978949,241,16
P13,U16,motif,2,73,88,2.350736714978949,241,16
P13,U16,motif,3,194,209,2.358179324060028,241,16
P13,U16,discord,1,172,187,4.074099938979799,241,16
P13,U16,discord,2,62,77,3.919382581558422,241,16
P13,U16,discord,3,97,112,3.8708854604537786,241,16
P13,U17,motif,1,29,44,1.7999788290951233,185,16
P13,U17,motif,2,117,132,1.7999788290951233,185,16
P13,U17,motif,3,84,99,2.6141442418325633,185,16
P13,U17,discord,1,138,153,3.9712993517071498,185,16
P13,U17,discord,2,109,124,3.9179627276746185,185,16
P13,U17,discord,3,64,79,3.846346548439749,185,16
P13,U18,motif,1,8,23,2.689056428200144,173,16
P13,U18,motif,2,47,62,2.689056428200144,173,16
P13,U18,motif,3,127,142,2.9262045565293504,173,16
P13,U18,discord,1,66,81,4.241616949890375,173,16
P13,U18,discord,2,106,121,4.070305121109595,173,16
P13,U18,discord,3,140,155,4.029743838399095,173,16
P13,U19,motif,1,43,58,2.1801488187269484,171,16
P13,U19,motif,2,138,153,2.1801488187269484,171,16
P13,U19,motif,3,92,107,2.50249766765811,171,16
P13,U19,discord,1,129,144,3.916397779994373,171,16
P13,U19,discord,2,19,34,3.744962941022417,171,16
P13,U19,discord,3,81,96,3.744962941022417,171,16
P13,U20,motif,1,100,115,1.6901846077833662,247,16
P13,U20,motif,2,219,234,1.6901846077833662,247,16
P13,U20,motif,3,156,171,2.2473364584338626,247,16
P13,U20,discord,1,144,159,3.939515715933053,247,16
P13,U20,discord,2,75,90,3.923740444572235,247,16
P13,U20,discord,3,229,244,3.9162722525562828,247,16
P13,U21,motif,1,54,69,2.088854477392468,197,16
P13,U21,motif,2,161,176,2.088854477392468,197,16
P13,U21,motif,3,143,158,2.5632287519225243,197,16
P13,U21,discord,1,42,57,4.085118812892418,197,16
P13,U21,discord,2,14,29,4.034360740533498,197,16
P13,U21,discord,3,97,112,3.912586724799377,197,16
P13,U22,motif,1,6,21,2.071675608058849,147,16
P13,U22,motif,2,33,48,2.071675608058849,147,16
P13,U22,motif,3,128,143,2.612573577707755,147,16
P13,U22,discord,1,111,126,4.0219510296646455,147,16
P13,U22,discord,2,63,78,3.9537408978174358,147,16
P13,U22,discord,3,92,107,3.885945319329112,147,16
P13,U23,motif,1,14,29,2.424964211042833,167,16
P13,U23,motif,2,105,120,2.424964211042833,167,16
P13,U23,motif,3,51,66,2.4830719687290044,167,16
P13,U23,discord,1,69,84,4.18286610261918,167,16
P13,U23,discord,2,117,132,3.954451443442921,167,16
P13,U23,discord,3,151,166,3.93006674559718,167,16
P13,U24,motif,1,16,31,2.7303376512172544,157,16
P13,U24,motif,2,134,149,2.7303376512172544,157,16
P13,U24,motif,3,81,96,2.9269504982371246,157,16
P13,U24,discord,1,111,126,4.1893345500419805,157,16
P13,U24,discord,2,46,61,4.0866537517869235,157,16
P13,U24,discord,3,70,85,4.05244800040485,157,16
P13,U25,motif,1,33,48,2.3698935159650207,151,16
P13,U25,motif,2,58,73,2.3698935159650207,151,16
P13,U25,motif,3,112,127,2.511739594069954,151,16
P13,U25,discord,1,69,84,4.169668034764435,151,16
P13,U25,discord,2,48,63,3.891214860490825,151,16
P13,U25,discord,3,106,121,3.8096195480438144,151,16
P13,U26,motif,1,54,69,2.451743680136104,245,16
P13,U26,motif,2,116,131,2.451743680136104,245,16
P13,U26,motif,3,23,38,2.7249184803707474,245,16
P13,U26,discord,1,203,218,3.960543078536613,245,16
P13,U26,discord,2,2,17,3.8175234013564396,245,16
P13,U26,discord,3,164,179,3.7628776335980794,245,16
P14,U01,motif,1,74,89,2.2452635524078173,167,16
P14,U01,motif,2,106,121,2.2452635524078173,167,16
P14,U01,motif,3,124,139,2.4029068187005014,167,16
P14,U01,discord,1,50,65,4.077622365347007,167,16
P14,U01,discord,2,68,83,3.9821299042127762,167,16
P14,U01,discord,3,127,142,3.964347853942735,167,16
P14,U02,motif,1,25,40,2.853638829809236,185,16
P14,U02,motif,2,73,88,3.003751881412561,185,16
P14,U02,motif,3,109,124,3.003751881412561,185,16
P14,U02,discord,1,63,78,4.116804354510402,185,16
P14,U02,discord,2,152,167,4.068349411652711,185,16
P14,U02,discord,3,31,46,4.05122404416762,185,16
P14,U03,motif,1,1,16,2.0480725138523077,213,16
P14,U03,motif,2,61,76,2.5503710112791387,213,16
P14,U03,motif,3,23,38,2.676884880631082,213,16
P14,U03,discord,1,53,68,4.242047569673543,213,16
P14,U03,discord,2,127,142,4.046134584907195,213,16
P14,U03,discord,3,89,104,3.8875529541121723,213,16
P14,U04,motif,1,165,180,2.1487164118510322,217,16
P14,U04,motif,2,68,83,2.3449931633950905,217,16
P14,U04,motif,3,130,145,2.3449931633950905,217,16
P14,U04,discord,1,108,123,3.9936729001016387,217,16
P14,U04,discord,2,47,62,3.9785899438885735,217,16
P14,U04,discord,3,146,161,3.9733428769086303,217,16
P14,U05,motif,1,88,103,2.3078516673694938,165,16
P14,U05,motif,2,13,28,2.407403766550049,165,16
P14,U05,motif,3,142,157,2.407403766550049,165,16
P14,U05,discord,1,30,45,4.426171404433674,165,16
P14,U05,discord,2,77,92,3.889727863349946,165,16
P14,U05,discord,3,125,140,3.839313881355308,165,16
P14,U06,motif,1,37,52,2.54867286729501,153,16
P14,U06,motif,2,86,101,2.54867286729501,153,16
P14,U06,motif,3,15,30,2.772218744681866,153,16
P14,U06,discord,1,60,75,4.059914003109067,153,16
P14,U06,discord,2,120,135,4.017023311641163,153,16
P14,U06,discord,3,35,50,3.8558561118673045,153,16
P14,U07,motif,1,55,70,2.48249768857349,157,16
P14,U07,motif,2,78,93,2.48249768857349,157,16
P14,U07,motif,3,17,32,2.4856611584970696,157,16
P14,U07,discord,1,67,82,4.24111641427587,157,16
P14,U07,discord,2,37,52,4.052290101324381,157,16
P14,U07,discord,3,122,137,3.940105424470161,157,16
P14,U08,motif,1,118,133,2.549518500798474,191,16
P14,U08,motif,2,158,173,2.549518500798474,191,16
P14,U08,motif,3,37,52,2.6983189874493476,191,16
P14,U08,discord,1,126,141,4.0288178699777015,191,16
P14,U08,discord,2,5,20,4.016526380114629,191,16
P14,U08,discord,3,71,86,3.9656229957818536,191,16
P14,U09,motif,1,52,67,2.714243482026881,159,16
P14,U09,motif,2,83,98,2.714243482026881,159,16
P14,U09,motif,3,135,150,2.861644791859636,159,16
P14,U09,discord,1,37,52,4.086115243354391,159,16
P14,U09,discord,2,7,22,4.053487489640264,159,16
P14,U09,discord,3,65,80,4.021365690583289,159,16
P14,U10,motif,1,5,20,2.5195061606985236,169,16
P14,U10,motif,2,85,100,2.5195061606985236,169,16
P14,U10,motif,3,32,47,2.919418708475514,169,16
P14,U10,discord,1,39,54,4.092194822999488,169,16
P14,U10,discord,2,103,118,4.023810835504616,169,16
P14,U10,discord,3,134,149,3.995547047903715,169,16
P14,U11,motif,1,9,24,2.8116532680455655,165,16
P14,U11,motif,2,39,54,2.8116532680455655,165,16
P14,U11,motif,3,134,149,2.890264429802883,165,16
P14,U11,discord,1,49,64,4.002778903861469,165,16
P14,U11,discord,2,79,94,3.962805852699004,165,16
P14,U11,discord,3,148,163,3.939890061648734,165,16
P14,U12,motif,1,136,151,2.075976621589437,243,16
P14,U12,motif,2,23,38,2.636086066997656,243,16
P14,U12,motif,3,155,170,2.636086066997656,243,16
P14,U12,discord,1,129,144,3.894164248965307,243,16
